device,case,rmse,srr,bnsr_db,peak_retention
glove,sparse_steady,0.4410576880748655,0.9989598478966805,7.178032090439954,1.097142253138826
glove,slow_ramp,0.45221415462523584,1.0013387861571772,6.997280732862727,1.0519875090260764
glove,short_contacts,0.44429763398258226,0.9551970561819257,7.01922987640801,1.0363277675380191
glove,overlap_contacts,0.45298742198577724,1.0047768439444023,7.037061561298872,1.0731336817481154
glove,low_snr,0.445951966768306,0.9013030238669906,7.070770782974406,1.304779447072007
fabric,sparse_steady,0.654526913292916,1.0185684451303756,4.929047457906809,1.1221936110270316
fabric,slow_ramp,0.6734704577125984,1.0255608879961522,4.599020528645771,1.0649041441658855
fabric,short_contacts,0.6441962210412557,1.035415228716993,4.715985536957753,1.0772677438371152
fabric,overlap_contacts,0.6736573219456291,1.0114144248605332,4.788366559518983,1.0421930863244473
fabric,low_snr,0.6692835411714428,0.9845310088110818,4.902573863512266,1.5753697446046713
