source_mask,target_recording,mask_jaccard,target_total_retention,target_peak_retention
1.5kg_20260710145618,1.5kg_20260710145618,1.0,0.9980497535286341,1.0
1.5kg_20260710145618,1.5kg_20260710145716,0.004415011037527594,0.004927851255994051,0.2785433070866142
1.5kg_20260710145618,1kg_20260710145358,0.23348017621145375,0.43048665802231884,0.910609857978279
1.5kg_20260710145618,1kg_20260710145522,0.0,0.0,0.0
1.5kg_20260710145618,500g_20260710145113,0.0,0.0,0.0
1.5kg_20260710145618,500g_20260710145200,0.29601518026565465,0.7641948025654174,1.0
1.5kg_20260710145618,500g_20260710145249,0.0,0.0,0.0
1.5kg_20260710145716,1.5kg_20260710145618,0.004415011037527594,0.00961684456832319,0.5250767656090072
1.5kg_20260710145716,1.5kg_20260710145716,1.0,0.9970238608160699,1.0
1.5kg_20260710145716,1kg_20260710145358,0.15384615384615385,0.4370458658270047,1.0
1.5kg_20260710145716,1kg_20260710145522,0.4918918918918919,0.8204442419309125,1.0
1.5kg_20260710145716,500g_20260710145113,0.3169291338582677,0.6402832485752915,1.0
1.5kg_20260710145716,500g_20260710145200,0.0,0.0,0.0
1.5kg_20260710145716,500g_20260710145249,0.35542168674698793,0.8627013123947933,1.0
1kg_20260710145358,1.5kg_20260710145618,0.23348017621145375,0.44099975916757045,0.8372569089048106
1kg_20260710145358,1.5kg_20260710145716,0.15384615384615385,0.36534866033387126,1.0
1kg_20260710145358,1kg_20260710145358,1.0,0.9979504845636344,1.0
1kg_20260710145358,1kg_20260710145522,0.06162464985994398,0.2043096268100474,0.96875
1kg_20260710145358,500g_20260710145113,0.0067226890756302525,0.011074903223566997,0.4325044404973357
1kg_20260710145358,500g_20260710145200,0.1765834932821497,0.40074682198099176,0.7606907894736842
1kg_20260710145358,500g_20260710145249,0.011705685618729096,0.002505240917303202,0.7563131313131313
1kg_20260710145522,1.5kg_20260710145618,0.0,0.0,0.0
1kg_20260710145522,1.5kg_20260710145716,0.4918918918918919,0.6033601390350343,1.0
1kg_20260710145522,1kg_20260710145358,0.06162464985994398,0.21151200161553887,1.0
1kg_20260710145522,1kg_20260710145522,1.0,0.9949793479728469,1.0
1kg_20260710145522,500g_20260710145113,0.20040899795501022,0.4029856296670468,0.8046181172291297
1kg_20260710145522,500g_20260710145200,0.0,0.0,0.0
1kg_20260710145522,500g_20260710145249,0.3236607142857143,0.7299936303389849,1.0
500g_20260710145113,1.5kg_20260710145618,0.0,0.0,0.0
500g_20260710145113,1.5kg_20260710145716,0.3169291338582677,0.252088945978957,0.7677165354330708
500g_20260710145113,1kg_20260710145358,0.0067226890756302525,0.012137757674011517,0.37844611528822053
500g_20260710145113,1kg_20260710145522,0.20040899795501022,0.19876567999239828,0.9769021739130435
500g_20260710145113,500g_20260710145113,1.0,0.9962595845599623,1.0
500g_20260710145113,500g_20260710145200,0.0,0.0,0.0
500g_20260710145113,500g_20260710145249,0.16042780748663102,0.2649843996316576,1.0
500g_20260710145200,1.5kg_20260710145618,0.29601518026565465,0.31473729447342474,0.6960081883316275
500g_20260710145200,1.5kg_20260710145716,0.0,0.0,0.0
500g_20260710145200,1kg_20260710145358,0.1765834932821497,0.23006655794148423,0.6165413533834586
500g_20260710145200,1kg_20260710145522,0.0,0.0,0.0
500g_20260710145200,500g_20260710145113,0.0,0.0,0.0
500g_20260710145200,500g_20260710145200,1.0,0.9960930324655832,1.0
500g_20260710145200,500g_20260710145249,0.0,0.0,0.0
500g_20260710145249,1.5kg_20260710145618,0.0,0.0,0.0
500g_20260710145249,1.5kg_20260710145716,0.35542168674698793,0.4556863619134805,0.8405511811023622
500g_20260710145249,1kg_20260710145358,0.011705685618729096,0.04976152233400621,1.0
500g_20260710145249,1kg_20260710145522,0.3236607142857143,0.47951013515082613,1.0
500g_20260710145249,500g_20260710145113,0.16042780748663102,0.15455153503239208,0.7273534635879219
500g_20260710145249,500g_20260710145200,0.0,0.0,0.0
500g_20260710145249,500g_20260710145249,1.0,0.9713867648509137,1.0
